Changed database context to 'adventureworks'.
Name                                               SalesStatus        
-------------------------------------------------- -------------------
HL Road Frame - Black, 58                          Currently for sale 
HL Road Frame - Red, 58                            Currently for sale 
Sport-100 Helmet, Red                              Currently for sale 
Sport-100 Helmet, Black                            Currently for sale 
Mountain Bike Socks, M                             No longer available
Mountain Bike Socks, L                             No longer available
Sport-100 Helmet, Blue                             Currently for sale 
AWC Logo Cap                                       Currently for sale 
Long-Sleeve Logo Jersey, S                         Currently for sale 
Long-Sleeve Logo Jersey, M                         Currently for sale 
Long-Sleeve Logo Jersey, L                         Currently for sale 
Long-Sleeve Logo Jersey, XL                        Currently for sale 
HL Road Frame - Red, 62                            Currently for sale 
HL Road Frame - Red, 44                            Currently for sale 
HL Road Frame - Red, 48                            Currently for sale 
HL Road Frame - Red, 52                            Currently for sale 
HL Road Frame - Red, 56                            Currently for sale 
LL Road Frame - Black, 58                          Currently for sale 
LL Road Frame - Black, 60                          Currently for sale 
LL Road Frame - Black, 62                          Currently for sale 
LL Road Frame - Red, 44                            No longer available
LL Road Frame - Red, 48                            No longer available
LL Road Frame - Red, 52                            No longer available
LL Road Frame - Red, 58                            No longer available
LL Road Frame - Red, 60                            No longer available
LL Road Frame - Red, 62                            No longer available
ML Road Frame - Red, 44                            No longer available
ML Road Frame - Red, 48                            No longer available
ML Road Frame - Red, 52                            No longer available
ML Road Frame - Red, 58                            No longer available
ML Road Frame - Red, 60                            No longer available
LL Road Frame - Black, 44                          Currently for sale 
LL Road Frame - Black, 48                          Currently for sale 
LL Road Frame - Black, 52                          Currently for sale 
HL Mountain Frame - Silver, 42                     Currently for sale 
HL Mountain Frame - Silver, 44                     No longer available
HL Mountain Frame - Silver, 48                     No longer available
HL Mountain Frame - Silver, 46                     Currently for sale 
HL Mountain Frame - Black, 42                      Currently for sale 
HL Mountain Frame - Black, 44                      No longer available
HL Mountain Frame - Black, 48                      No longer available
HL Mountain Frame - Black, 46                      Currently for sale 
