Changed database context to 'adventureworks'.
Name                                               NumericSize
-------------------------------------------------- -----------
HL Road Frame - Black, 58                                   58
HL Road Frame - Red, 58                                     58
Sport-100 Helmet, Red                                     NULL
Sport-100 Helmet, Black                                   NULL
Mountain Bike Socks, M                                    NULL
Mountain Bike Socks, L                                    NULL
Sport-100 Helmet, Blue                                    NULL
AWC Logo Cap                                              NULL
Long-Sleeve Logo Jersey, S                                NULL
Long-Sleeve Logo Jersey, M                                NULL
Long-Sleeve Logo Jersey, L                                NULL
Long-Sleeve Logo Jersey, XL                               NULL
HL Road Frame - Red, 62                                     62
HL Road Frame - Red, 44                                     44
HL Road Frame - Red, 48                                     48
HL Road Frame - Red, 52                                     52
HL Road Frame - Red, 56                                     56
LL Road Frame - Black, 58                                   58
LL Road Frame - Black, 60                                   60
LL Road Frame - Black, 62                                   62
LL Road Frame - Red, 44                                     44
LL Road Frame - Red, 48                                     48
LL Road Frame - Red, 52                                     52
LL Road Frame - Red, 58                                     58
LL Road Frame - Red, 60                                     60
LL Road Frame - Red, 62                                     62
ML Road Frame - Red, 44                                     44
ML Road Frame - Red, 48                                     48
ML Road Frame - Red, 52                                     52
ML Road Frame - Red, 58                                     58
ML Road Frame - Red, 60                                     60
LL Road Frame - Black, 44                                   44
LL Road Frame - Black, 48                                   48
LL Road Frame - Black, 52                                   52
HL Mountain Frame - Silver, 42                              42
HL Mountain Frame - Silver, 44                              44
HL Mountain Frame - Silver, 48                              48
HL Mountain Frame - Silver, 46                              46
HL Mountain Frame - Black, 42                               42
HL Mountain Frame - Black, 44                               44
HL Mountain Frame - Black, 48                               48
HL Mountain Frame - Black, 46                               46
HL Mountain Frame - Black, 38                               38
HL Mountain Frame - Silver, 38                              38
Road-150 Red, 62                                            62
Road-150 Red, 44                                            44
Road-150 Red, 48                                            48
Road-150 Red, 52                                            52
Road-150 Red, 56                                            56
Road-450 Red, 58                                            58
Road-450 Red, 60                                            60
Road-450 Red, 44                                            44
Road-450 Red, 48                                            48
Road-450 Red, 52                                            52
Road-650 Red, 58                                            58
Road-650 Red, 60                                            60
Road-650 Red, 62                                            62
Road-650 Red, 44                                            44
Road-650 Red, 48                                            48
Road-650 Red, 52                                            52
Road-650 Black, 58                                          58
Road-650 Black, 60                                          60
Road-650 Black, 62                                          62
Road-650 Black, 44                                          44
Road-650 Black, 48                                          48
Road-650 Black, 52                                          52
Mountain-100 Silver, 38                                     38
Mountain-100 Silver, 42                                     42
Mountain-100 Silver, 44                                     44
Mountain-100 Silver, 48                                     48
Mountain-100 Black, 38                                      38
Mountain-100 Black, 42                                      42
Mountain-100 Black, 44                                      44
Mountain-100 Black, 48                                      48
Mountain-200 Silver, 38                                     38
Mountain-200 Silver, 42                                     42
Mountain-200 Silver, 46                                     46
Mountain-200 Black, 38                                      38
Mountain-200 Black, 42                                      42
Mountain-200 Black, 46                                      46
Mountain-300 Black, 38                                      38
Mountain-300 Black, 40                                      40
Mountain-300 Black, 44                                      44
Mountain-300 Black, 48                                      48
Road-250 Red, 44                                            44
Road-250 Red, 48                                            48
Road-250 Red, 52                                            52
Road-250 Red, 58                                            58
Road-250 Black, 44                                          44
Road-250 Black, 48                                          48
Road-250 Black, 52                                          52
Road-250 Black, 58                                          58
Road-550-W Yellow, 38                                       38
Road-550-W Yellow, 40                                       40
Road-550-W Yellow, 42                                       42
Road-550-W Yellow, 44                                       44
Road-550-W Yellow, 48                                       48
LL Fork                                                   NULL
ML Fork                                                   NULL
HL Fork                                                   NULL
LL Headset                                                NULL
ML Headset                                                NULL
HL Headset                                                NULL
LL Mountain Handlebars                                    NULL
ML Mountain Handlebars                                    NULL
HL Mountain Handlebars                                    NULL
LL Road Handlebars                                        NULL
ML Road Handlebars                                        NULL
HL Road Handlebars                                        NULL
ML Mountain Frame - Black, 38                               38
LL Mountain Front Wheel                                   NULL
ML Mountain Front Wheel                                   NULL
HL Mountain Front Wheel                                   NULL
LL Road Front Wheel                                       NULL
ML Road Front Wheel                                       NULL
HL Road Front Wheel                                       NULL
Touring Front Wheel                                       NULL
ML Road Frame-W - Yellow, 38                                38
LL Mountain Rear Wheel                                    NULL
ML Mountain Rear Wheel                                    NULL
HL Mountain Rear Wheel                                    NULL
LL Road Rear Wheel                                        NULL
ML Road Rear Wheel                                        NULL
HL Road Rear Wheel                                        NULL
Touring Rear Wheel                                        NULL
ML Mountain Frame - Black, 40                               40
ML Mountain Frame - Black, 44                               44
ML Mountain Frame - Black, 48                               48
ML Road Frame-W - Yellow, 40                                40
ML Road Frame-W - Yellow, 42                                42
ML Road Frame-W - Yellow, 44                                44
ML Road Frame-W - Yellow, 48                                48
HL Road Frame - Black, 62                                   62
HL Road Frame - Black, 44                                   44
HL Road Frame - Black, 48                                   48
HL Road Frame - Black, 52                                   52
Men's Sports Shorts, S                                    NULL
Touring-Panniers, Large                                   NULL
Cable Lock                                                NULL
Minipump                                                  NULL
Mountain Pump                                             NULL
Taillights - Battery-Powered                              NULL
Headlights - Dual-Beam                                    NULL
