Changed database context to 'adventureworks'.
Name                                               StatusLastUpdated      
-------------------------------------------------- -----------------------
HL Road Frame - Black, 58                          2002-06-01 00:00:00.000
HL Road Frame - Red, 58                            2002-06-01 00:00:00.000
Sport-100 Helmet, Red                              2005-07-01 00:00:00.000
Sport-100 Helmet, Black                            2005-07-01 00:00:00.000
Mountain Bike Socks, M                             2006-06-30 00:00:00.000
Mountain Bike Socks, L                             2006-06-30 00:00:00.000
Sport-100 Helmet, Blue                             2005-07-01 00:00:00.000
AWC Logo Cap                                       2005-07-01 00:00:00.000
Long-Sleeve Logo Jersey, S                         2005-07-01 00:00:00.000
Long-Sleeve Logo Jersey, M                         2005-07-01 00:00:00.000
Long-Sleeve Logo Jersey, L                         2005-07-01 00:00:00.000
Long-Sleeve Logo Jersey, XL                        2005-07-01 00:00:00.000
HL Road Frame - Red, 62                            2005-07-01 00:00:00.000
HL Road Frame - Red, 44                            2005-07-01 00:00:00.000
HL Road Frame - Red, 48                            2005-07-01 00:00:00.000
HL Road Frame - Red, 52                            2005-07-01 00:00:00.000
HL Road Frame - Red, 56                            2005-07-01 00:00:00.000
LL Road Frame - Black, 58                          2005-07-01 00:00:00.000
LL Road Frame - Black, 60                          2005-07-01 00:00:00.000
LL Road Frame - Black, 62                          2005-07-01 00:00:00.000
LL Road Frame - Red, 44                            2007-06-30 00:00:00.000
LL Road Frame - Red, 48                            2007-06-30 00:00:00.000
LL Road Frame - Red, 52                            2007-06-30 00:00:00.000
LL Road Frame - Red, 58                            2007-06-30 00:00:00.000
LL Road Frame - Red, 60                            2007-06-30 00:00:00.000
LL Road Frame - Red, 62                            2007-06-30 00:00:00.000
ML Road Frame - Red, 44                            2006-06-30 00:00:00.000
ML Road Frame - Red, 48                            2006-06-30 00:00:00.000
ML Road Frame - Red, 52                            2006-06-30 00:00:00.000
ML Road Frame - Red, 58                            2006-06-30 00:00:00.000
ML Road Frame - Red, 60                            2006-06-30 00:00:00.000
LL Road Frame - Black, 44                          2005-07-01 00:00:00.000
LL Road Frame - Black, 48                          2005-07-01 00:00:00.000
LL Road Frame - Black, 52                          2005-07-01 00:00:00.000
HL Mountain Frame - Silver, 42                     2005-07-01 00:00:00.000
HL Mountain Frame - Silver, 44                     2006-06-30 00:00:00.000
HL Mountain Frame - Silver, 48                     2006-06-30 00:00:00.000
HL Mountain Frame - Silver, 46                     2005-07-01 00:00:00.000
HL Mountain Frame - Black, 42                      2005-07-01 00:00:00.000
HL Mountain Frame - Black, 44                      2006-06-30 00:00:00.000
HL Mountain Frame - Black, 48                      2006-06-30 00:00:00.000
HL Mountain Frame - Black, 46                      2005-07-01 00:00:00.000
HL Mountain Frame - Black, 38                      2005-07-01 00:00:00.000
HL Mountain Frame - Silver, 38                     2005-07-01 00:00:00.000
Road-150 Red, 62                                   2006-06-30 00:00:00.000
Road-150 Red, 44                                   2006-06-30 00:00:00.000
Road-150 Red, 48                                   2006-06-30 00:00:00.000
Road-150 Red, 52                                   2006-06-30 00:00:00.000
Road-150 Red, 56                                   2006-06-30 00:00:00.000
Road-450 Red, 58                                   2006-06-30 00:00:00.000
Road-450 Red, 60                                   2006-06-30 00:00:00.000
Road-450 Red, 44                                   2006-06-30 00:00:00.000
Road-450 Red, 48                                   2006-06-30 00:00:00.000
Road-450 Red, 52                                   2006-06-30 00:00:00.000
Road-650 Red, 58                                   2007-06-30 00:00:00.000
Road-650 Red, 60                                   2007-06-30 00:00:00.000
Road-650 Red, 62                                   2007-06-30 00:00:00.000
Road-650 Red, 44                                   2007-06-30 00:00:00.000
Road-650 Red, 48                                   2007-06-30 00:00:00.000
Road-650 Red, 52                                   2007-06-30 00:00:00.000
Road-650 Black, 58                                 2007-06-30 00:00:00.000
Road-650 Black, 60                                 2007-06-30 00:00:00.000
Road-650 Black, 62                                 2007-06-30 00:00:00.000
Road-650 Black, 44                                 2007-06-30 00:00:00.000
Road-650 Black, 48                                 2007-06-30 00:00:00.000
Road-650 Black, 52                                 2007-06-30 00:00:00.000
Mountain-100 Silver, 38                            2006-06-30 00:00:00.000
Mountain-100 Silver, 42                            2006-06-30 00:00:00.000
Mountain-100 Silver, 44                            2006-06-30 00:00:00.000
Mountain-100 Silver, 48                            2006-06-30 00:00:00.000
Mountain-100 Black, 38                             2006-06-30 00:00:00.000
Mountain-100 Black, 42                             2006-06-30 00:00:00.000
Mountain-100 Black, 44                             2006-06-30 00:00:00.000
Mountain-100 Black, 48                             2006-06-30 00:00:00.000
Mountain-200 Silver, 38                            2006-07-01 00:00:00.000
Mountain-200 Silver, 42                            2006-07-01 00:00:00.000
Mountain-200 Silver, 46                            2006-07-01 00:00:00.000
Mountain-200 Black, 38                             2006-07-01 00:00:00.000
Mountain-200 Black, 42                             2006-07-01 00:00:00.000
Mountain-200 Black, 46                             2006-07-01 00:00:00.000
Mountain-300 Black, 38                             2007-06-30 00:00:00.000
Mountain-300 Black, 40                             2007-06-30 00:00:00.000
Mountain-300 Black, 44                             2007-06-30 00:00:00.000
Mountain-300 Black, 48                             2007-06-30 00:00:00.000
Road-250 Red, 44                                   2007-06-30 00:00:00.000
Road-250 Red, 48                                   2007-06-30 00:00:00.000
Road-250 Red, 52                                   2007-06-30 00:00:00.000
Road-250 Red, 58                                   2006-07-01 00:00:00.000
Road-250 Black, 44                                 2006-07-01 00:00:00.000
Road-250 Black, 48                                 2006-07-01 00:00:00.000
Road-250 Black, 52                                 2006-07-01 00:00:00.000
Road-250 Black, 58                                 2006-07-01 00:00:00.000
Road-550-W Yellow, 38                              2006-07-01 00:00:00.000
Road-550-W Yellow, 40                              2006-07-01 00:00:00.000
Road-550-W Yellow, 42                              2006-07-01 00:00:00.000
Road-550-W Yellow, 44                              2006-07-01 00:00:00.000
Road-550-W Yellow, 48                              2006-07-01 00:00:00.000
LL Fork                                            2007-06-30 00:00:00.000
ML Fork                                            2007-06-30 00:00:00.000
HL Fork                                            2007-06-30 00:00:00.000
LL Headset                                         2007-06-30 00:00:00.000
ML Headset                                         2007-06-30 00:00:00.000
HL Headset                                         2007-06-30 00:00:00.000
LL Mountain Handlebars                             2006-07-01 00:00:00.000
ML Mountain Handlebars                             2006-07-01 00:00:00.000
HL Mountain Handlebars                             2006-07-01 00:00:00.000
LL Road Handlebars                                 2006-07-01 00:00:00.000
ML Road Handlebars                                 2006-07-01 00:00:00.000
HL Road Handlebars                                 2006-07-01 00:00:00.000
ML Mountain Frame - Black, 38                      2007-06-30 00:00:00.000
LL Mountain Front Wheel                            2007-06-30 00:00:00.000
ML Mountain Front Wheel                            2007-06-30 00:00:00.000
HL Mountain Front Wheel                            2007-06-30 00:00:00.000
LL Road Front Wheel                                2007-06-30 00:00:00.000
ML Road Front Wheel                                2007-06-30 00:00:00.000
HL Road Front Wheel                                2007-06-30 00:00:00.000
Touring Front Wheel                                2007-06-30 00:00:00.000
ML Road Frame-W - Yellow, 38                       2006-07-01 00:00:00.000
LL Mountain Rear Wheel                             2007-06-30 00:00:00.000
ML Mountain Rear Wheel                             2007-06-30 00:00:00.000
HL Mountain Rear Wheel                             2007-06-30 00:00:00.000
LL Road Rear Wheel                                 2007-06-30 00:00:00.000
ML Road Rear Wheel                                 2007-06-30 00:00:00.000
HL Road Rear Wheel                                 2007-06-30 00:00:00.000
Touring Rear Wheel                                 2007-06-30 00:00:00.000
ML Mountain Frame - Black, 40                      2007-06-30 00:00:00.000
ML Mountain Frame - Black, 44                      2007-06-30 00:00:00.000
ML Mountain Frame - Black, 48                      2007-06-30 00:00:00.000
ML Road Frame-W - Yellow, 40                       2006-07-01 00:00:00.000
ML Road Frame-W - Yellow, 42                       2006-07-01 00:00:00.000
ML Road Frame-W - Yellow, 44                       2006-07-01 00:00:00.000
ML Road Frame-W - Yellow, 48                       2006-07-01 00:00:00.000
HL Road Frame - Black, 62                          2006-07-01 00:00:00.000
HL Road Frame - Black, 44                          2006-07-01 00:00:00.000
HL Road Frame - Black, 48                          2006-07-01 00:00:00.000
HL Road Frame - Black, 52                          2006-07-01 00:00:00.000
Men's Sports Shorts, S                             2007-06-30 00:00:00.000
Touring-Panniers, Large                            2007-06-30 00:00:00.000
Cable Lock                                         2007-06-30 00:00:00.000
Minipump                                           2007-06-30 00:00:00.000
Mountain Pump                                      2007-06-30 00:00:00.000
Taillights - Battery-Powered                       2007-06-30 00:00:00.000
Headlights - Dual-Beam                             2007-06-30 00:00:00.000
Headlights - Weatherproof                          2007-06-30 00:00:00.000
Men's Sports Shorts, M                             2007-06-30 00:00:00.000
Men's Sports Shorts, L                             2007-06-30 00:00:00.000
Men's Sports Shorts, XL                            2007-06-30 00:00:00.000
Women's Tights, S                                  2007-06-30 00:00:00.000
Women's Tights, M                                  2007-06-30 00:00:00.000
Women's Tights, L                                  2007-06-30 00:00:00.000
