Changed database context to 'adventureworks'.
Name                                               ProductSize
-------------------------------------------------- -----------
HL Road Frame - Black, 58                          58         
HL Road Frame - Red, 58                            58         
Sport-100 Helmet, Red                              n/a        
Sport-100 Helmet, Black                            n/a        
Mountain Bike Socks, M                             Medium     
Mountain Bike Socks, L                             Large      
Sport-100 Helmet, Blue                             n/a        
AWC Logo Cap                                       n/a        
Long-Sleeve Logo Jersey, S                         Small      
Long-Sleeve Logo Jersey, M                         Medium     
Long-Sleeve Logo Jersey, L                         Large      
Long-Sleeve Logo Jersey, XL                        Extra-Large
HL Road Frame - Red, 62                            62         
HL Road Frame - Red, 44                            44         
HL Road Frame - Red, 48                            48         
HL Road Frame - Red, 52                            52         
HL Road Frame - Red, 56                            56         
LL Road Frame - Black, 58                          58         
LL Road Frame - Black, 60                          60         
LL Road Frame - Black, 62                          62         
LL Road Frame - Red, 44                            44         
LL Road Frame - Red, 48                            48         
LL Road Frame - Red, 52                            52         
LL Road Frame - Red, 58                            58         
LL Road Frame - Red, 60                            60         
LL Road Frame - Red, 62                            62         
ML Road Frame - Red, 44                            44         
ML Road Frame - Red, 48                            48         
ML Road Frame - Red, 52                            52         
ML Road Frame - Red, 58                            58         
ML Road Frame - Red, 60                            60         
LL Road Frame - Black, 44                          44         
LL Road Frame - Black, 48                          48         
LL Road Frame - Black, 52                          52         
HL Mountain Frame - Silver, 42                     42         
HL Mountain Frame - Silver, 44                     44         
HL Mountain Frame - Silver, 48                     48         
HL Mountain Frame - Silver, 46                     46         
HL Mountain Frame - Black, 42                      42         
HL Mountain Frame - Black, 44                      44         
HL Mountain Frame - Black, 48                      48         
HL Mountain Frame - Black, 46                      46         
HL Mountain Frame - Black, 38                      38         
HL Mountain Frame - Silver, 38                     38         
Road-150 Red, 62                                   62         
Road-150 Red, 44                                   44         
Road-150 Red, 48                                   48         
Road-150 Red, 52                                   52         
Road-150 Red, 56                                   56         
Road-450 Red, 58                                   58         
Road-450 Red, 60                                   60         
Road-450 Red, 44                                   44         
Road-450 Red, 48                                   48         
Road-450 Red, 52                                   52         
Road-650 Red, 58                                   58         
Road-650 Red, 60                                   60         
Road-650 Red, 62                                   62         
Road-650 Red, 44                                   44         
Road-650 Red, 48                                   48         
Road-650 Red, 52                                   52         
Road-650 Black, 58                                 58         
Road-650 Black, 60                                 60         
Road-650 Black, 62                                 62         
Road-650 Black, 44                                 44         
Road-650 Black, 48                                 48         
Road-650 Black, 52                                 52         
Mountain-100 Silver, 38                            38         
Mountain-100 Silver, 42                            42         
Mountain-100 Silver, 44                            44         
Mountain-100 Silver, 48                            48         
Mountain-100 Black, 38                             38         
Mountain-100 Black, 42                             42         
Mountain-100 Black, 44                             44         
Mountain-100 Black, 48                             48         
Mountain-200 Silver, 38                            38         
Mountain-200 Silver, 42                            42         
Mountain-200 Silver, 46                            46         
Mountain-200 Black, 38                             38         
Mountain-200 Black, 42                             42         
Mountain-200 Black, 46                             46         
Mountain-300 Black, 38                             38         
Mountain-300 Black, 40                             40         
Mountain-300 Black, 44                             44         
Mountain-300 Black, 48                             48         
Road-250 Red, 44                                   44         
Road-250 Red, 48                                   48         
Road-250 Red, 52                                   52         
Road-250 Red, 58                                   58         
Road-250 Black, 44                                 44         
Road-250 Black, 48                                 48         
Road-250 Black, 52                                 52         
Road-250 Black, 58                                 58         
Road-550-W Yellow, 38                              38         
Road-550-W Yellow, 40                              40         
Road-550-W Yellow, 42                              42         
Road-550-W Yellow, 44                              44         
Road-550-W Yellow, 48                              48         
LL Fork                                            n/a        
ML Fork                                            n/a        
HL Fork                                            n/a        
LL Headset                                         n/a        
ML Headset                                         n/a        
HL Headset                                         n/a        
LL Mountain Handlebars                             n/a        
ML Mountain Handlebars                             n/a        
HL Mountain Handlebars                             n/a        
LL Road Handlebars                                 n/a        
ML Road Handlebars                                 n/a        
HL Road Handlebars                                 n/a        
ML Mountain Frame - Black, 38                      38         
LL Mountain Front Wheel                            n/a        
ML Mountain Front Wheel                            n/a        
HL Mountain Front Wheel                            n/a        
LL Road Front Wheel                                n/a        
ML Road Front Wheel                                n/a        
HL Road Front Wheel                                n/a        
Touring Front Wheel                                n/a        
ML Road Frame-W - Yellow, 38                       38         
LL Mountain Rear Wheel                             n/a        
ML Mountain Rear Wheel                             n/a        
HL Mountain Rear Wheel                             n/a        
LL Road Rear Wheel                                 n/a        
ML Road Rear Wheel                                 n/a        
HL Road Rear Wheel                                 n/a        
Touring Rear Wheel                                 n/a        
ML Mountain Frame - Black, 40                      40         
ML Mountain Frame - Black, 44                      44         
ML Mountain Frame - Black, 48                      48         
ML Road Frame-W - Yellow, 40                       40         
ML Road Frame-W - Yellow, 42                       42         
ML Road Frame-W - Yellow, 44                       44         
ML Road Frame-W - Yellow, 48                       48         
HL Road Frame - Black, 62                          62         
HL Road Frame - Black, 44                          44         
HL Road Frame - Black, 48                          48         
HL Road Frame - Black, 52                          52         
Men's Sports Shorts, S                             Small      
Touring-Panniers, Large                            n/a        
Cable Lock                                         n/a        
